molecule_chembl_id,canonical_smiles,standard_value
CHEMBL2068998,C=C(C)[C@@H]1CCC2(NC(=O)N[C@H](CC(C)C)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,5000.0
CHEMBL2068941,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](CCSC)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,14200.0
CHEMBL431525,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5700.0
CHEMBL2068994,C=C(C)[C@@H]1CC[C@]2(N=C=O)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,221400.0
CHEMBL2068944,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCO)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,754700.0
CHEMBL2068937,C=C(C)[C@@H]1CCC2(NC(=O)N[C@@H](C(=O)OC)C(C)C)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,85700.0
CHEMBL2068943,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](C)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,234400.0
CHEMBL2069096,C=C(C)[C@@H]1CCC2(NC(=O)N[C@H](CCSC)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,27100.0
CHEMBL2069001,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCCCCCCCCC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,55500.0
CHEMBL2068999,C=C(C)[C@@H]1CCC2(NC(=O)N[C@H](CCSC)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CC/C(=N\O)C(C)(C)C5CC[C@]43C)C12,2300.0
CHEMBL2069003,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](CC(C)C)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,72300.0
CHEMBL326166,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CC/C(=N\O)C(C)(C)C5CC[C@]43C)C12,2200.0
CHEMBL2068939,C=C(C)[C@@H]1CC[C@]2(C(=O)NN)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CC/C(=N\O)C(C)(C)C5CC[C@]43C)C12,2000.0
CHEMBL2069103,C=C(C)[C@@H]1CC[C@]2(C(N)=O)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,700.0
CHEMBL269277,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,219000.0
CHEMBL2069004,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@H](C(=O)OC)C(C)C)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,13300.0
CHEMBL437484,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)CC(CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,0.0004
CHEMBL414566,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)CN(CCN(CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,0.00107
CHEMBL405409,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,0.000159
CHEMBL414779,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)c1cc(C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]2NC(C)=O)c(C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]2NC(C)=O)cc1C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,0.00053
