molecule_chembl_id,canonical_smiles,standard_value,MW,LogP,NumHDonors,NumHAcceptors,pEC50,class
CHEMBL2068998,C=C(C)[C@@H]1CCC2(NC(=O)N[C@H](CC(C)C)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,5000.0,596.8970000000003,7.85240000000001,2.0,4.0,5.301029995663981,intermediate
CHEMBL2068941,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](CCSC)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,14200.0,599.9220000000003,7.624000000000009,1.0,5.0,4.847711655616943,inactive
CHEMBL431525,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5700.0,454.69500000000033,7.297700000000009,1.0,2.0,5.2441251443275085,intermediate
CHEMBL2068994,C=C(C)[C@@H]1CC[C@]2(N=C=O)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,221400.0,451.69500000000033,7.301300000000008,0.0,3.0,3.654822383457296,inactive
CHEMBL2068944,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCO)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,754700.0,497.7640000000004,6.321600000000007,2.0,3.0,3.122225650008602,inactive
CHEMBL2068937,C=C(C)[C@@H]1CCC2(NC(=O)N[C@@H](C(=O)OC)C(C)C)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,85700.0,582.8700000000003,7.46230000000001,2.0,4.0,4.0670191780768015,inactive
CHEMBL2068943,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](C)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,234400.0,539.8010000000005,6.8908000000000085,1.0,4.0,3.630042392653947,inactive
CHEMBL2069096,C=C(C)[C@@H]1CCC2(NC(=O)N[C@H](CCSC)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,27100.0,614.9370000000002,7.55940000000001,2.0,5.0,4.567030709125595,inactive
CHEMBL2069001,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCCCCCCCCC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,55500.0,706.1970000000001,13.590799999999975,1.0,2.0,4.255707016877324,inactive
CHEMBL2068999,C=C(C)[C@@H]1CCC2(NC(=O)N[C@H](CCSC)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CC/C(=N\O)C(C)(C)C5CC[C@]43C)C12,2300.0,629.9520000000002,7.82050000000001,3.0,6.0,5.638272163982407,intermediate
CHEMBL2069003,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](CC(C)C)C(=O)OC)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,72300.0,581.8820000000003,7.9170000000000105,1.0,4.0,4.140861702705469,inactive
CHEMBL326166,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CC/C(=N\O)C(C)(C)C5CC[C@]43C)C12,2200.0,469.7100000000003,7.558800000000009,2.0,3.0,5.657577319177793,intermediate
CHEMBL2068939,C=C(C)[C@@H]1CC[C@]2(C(=O)NN)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CC/C(=N\O)C(C)(C)C5CC[C@]43C)C12,2000.0,483.7410000000003,6.464100000000007,3.0,4.0,5.698970004336019,intermediate
CHEMBL2069103,C=C(C)[C@@H]1CC[C@]2(C(N)=O)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,700.0,453.71100000000035,6.6984000000000075,1.0,2.0,6.154901959985743,active
CHEMBL269277,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,219000.0,456.7110000000003,7.089500000000009,2.0,2.0,3.6595558851598815,inactive
CHEMBL2069004,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@H](C(=O)OC)C(C)C)CC[C@@]3(C)C(CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,13300.0,567.8550000000004,7.526900000000009,1.0,4.0,4.876148359032914,inactive
CHEMBL437484,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)CC(CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,0.0004,1545.624000000001,-7.491729999999998,25.0,27.0,12.397940008672037,active
